ticker,flag_date,signal_value,max_drawdown_30d,outcome
SPY,2007-03-13,0.1921,0.006,false_alarm
SPY,2007-03-14,0.1914,-0.0014,false_alarm
SPY,2007-03-15,0.1892,-0.0028,false_alarm
SPY,2007-03-16,0.1888,0.0121,false_alarm
SPY,2007-03-19,0.1955,0.0055,false_alarm
SPY,2007-03-20,0.1968,0.006,false_alarm
SPY,2007-03-21,0.2068,-0.0103,false_alarm
SPY,2007-03-22,0.2068,-0.0095,false_alarm
SPY,2007-03-23,0.2066,-0.0109,false_alarm
SPY,2007-03-26,0.2066,-0.0096,false_alarm
SPY,2007-03-27,0.1458,-0.0073,false_alarm
SPY,2007-03-28,0.145,0.0011,false_alarm
SPY,2007-03-29,0.1444,0.0002,false_alarm
SPY,2007-03-30,0.1348,0.0011,false_alarm
SPY,2007-04-02,0.1285,0.0108,false_alarm
SPY,2007-06-13,0.1314,-0.0213,false_alarm
SPY,2007-06-14,0.1312,-0.0466,false_alarm
SPY,2007-06-15,0.1321,-0.052,hit
SPY,2007-06-18,0.1289,-0.0509,hit
SPY,2007-06-19,0.1291,-0.0532,hit
SPY,2007-06-20,0.1389,-0.0399,false_alarm
SPY,2007-06-21,0.1404,-0.0538,hit
SPY,2007-06-22,0.1407,-0.0448,false_alarm
SPY,2007-06-25,0.1408,-0.0402,false_alarm
SPY,2007-06-26,0.1442,-0.0303,false_alarm
SPY,2007-06-27,0.1508,-0.0439,false_alarm
SPY,2007-06-28,0.1508,-0.0438,false_alarm
SPY,2007-06-29,0.1493,-0.0441,false_alarm
SPY,2007-07-02,0.1535,-0.0578,hit
SPY,2007-07-03,0.1536,-0.0742,hit
SPY,2007-07-05,0.1484,-0.0732,hit
SPY,2007-07-06,0.132,-0.078,hit
SPY,2007-07-09,0.1249,-0.0788,hit
SPY,2007-07-10,0.136,-0.0655,hit
SPY,2007-07-11,0.1316,-0.072,hit
SPY,2007-07-12,0.1328,-0.0865,hit
SPY,2007-07-13,0.1315,-0.0892,hit
SPY,2007-07-16,0.1303,-0.0891,hit
SPY,2007-07-17,0.1302,-0.0886,hit
SPY,2007-07-18,0.1303,-0.0869,hit
SPY,2007-07-20,0.1245,-0.0812,hit
SPY,2007-07-24,0.1349,-0.0678,hit
SPY,2007-07-25,0.1288,-0.0697,hit
SPY,2007-07-26,0.1473,-0.0472,false_alarm
SPY,2007-07-27,0.162,-0.028,false_alarm
SPY,2007-07-30,0.1733,-0.043,false_alarm
SPY,2007-07-31,0.1727,-0.0321,false_alarm
SPY,2007-08-01,0.1733,-0.0368,false_alarm
SPY,2007-08-02,0.1768,-0.0444,false_alarm
SPY,2007-08-03,0.195,-0.0192,false_alarm
SPY,2007-08-06,0.2069,-0.0354,false_alarm
SPY,2007-08-07,0.2066,-0.0455,false_alarm
SPY,2007-08-08,0.2115,-0.0587,hit
SPY,2007-08-09,0.2263,-0.0299,false_alarm
SPY,2007-08-10,0.2252,-0.0254,false_alarm
SPY,2007-08-13,0.2263,-0.0289,false_alarm
SPY,2007-08-14,0.2301,-0.0138,false_alarm
SPY,2007-08-15,0.2326,0.0075,false_alarm
SPY,2007-08-16,0.2347,0.0114,false_alarm
SPY,2007-08-17,0.2467,-0.0068,false_alarm
SPY,2007-08-20,0.2459,-0.0064,false_alarm
SPY,2007-08-21,0.2404,-0.0083,false_alarm
SPY,2007-08-22,0.2451,-0.02,false_alarm
SPY,2007-08-23,0.2305,-0.0191,false_alarm
SPY,2007-08-24,0.2229,-0.0311,false_alarm
SPY,2007-08-27,0.219,-0.022,false_alarm
SPY,2007-08-28,0.2295,0.0144,false_alarm
SPY,2007-08-29,0.2398,-0.0051,false_alarm
SPY,2007-08-30,0.2381,-0.0025,false_alarm
SPY,2007-08-31,0.2203,-0.0122,false_alarm
SPY,2007-09-04,0.2155,-0.0221,false_alarm
SPY,2007-09-05,0.2149,-0.0135,false_alarm
SPY,2007-09-06,0.2089,-0.0158,false_alarm
SPY,2007-09-07,0.1852,-0.0019,false_alarm
SPY,2007-09-10,0.1845,0.0117,false_alarm
SPY,2007-09-11,0.1885,0.0026,false_alarm
SPY,2007-09-12,0.1785,0.0016,false_alarm
SPY,2007-09-13,0.1696,-0.0054,false_alarm
SPY,2007-09-14,0.1689,-0.0054,false_alarm
SPY,2007-09-17,0.16,0.0154,false_alarm
SPY,2007-09-18,0.1879,-0.0136,false_alarm
SPY,2007-09-19,0.1882,-0.0194,false_alarm
SPY,2007-09-20,0.1882,-0.0125,false_alarm
SPY,2007-09-21,0.1879,-0.0151,false_alarm
SPY,2007-09-24,0.1844,-0.0133,false_alarm
SPY,2007-09-25,0.1805,-0.0114,false_alarm
SPY,2007-09-26,0.157,-0.0281,false_alarm
SPY,2007-09-27,0.1452,-0.0387,false_alarm
SPY,2007-09-28,0.1456,-0.0488,false_alarm
SPY,2007-10-01,0.1466,-0.0687,hit
SPY,2007-10-02,0.1443,-0.0674,hit
SPY,2007-10-03,0.1397,-0.0655,hit
SPY,2007-10-04,0.1397,-0.067,hit
SPY,2007-10-05,0.1297,-0.078,hit
SPY,2007-10-08,0.1322,-0.073,hit
SPY,2007-10-09,0.1306,-0.0817,hit
SPY,2007-10-10,0.1317,-0.0931,hit
SPY,2007-10-11,0.1336,-0.0887,hit
SPY,2007-10-12,0.1337,-0.0984,hit
SPY,2007-10-15,0.1366,-0.0907,hit
SPY,2007-11-07,0.1907,-0.0471,false_alarm
SPY,2007-11-08,0.1908,-0.0422,false_alarm
SPY,2007-11-09,0.192,-0.0289,false_alarm
SPY,2007-11-12,0.1926,-0.0191,false_alarm
SPY,2007-11-13,0.226,-0.0481,false_alarm
SPY,2007-11-14,0.2252,-0.0455,false_alarm
SPY,2007-11-15,0.2294,-0.0315,false_alarm
SPY,2007-11-16,0.2118,-0.0332,false_alarm
SPY,2007-11-19,0.2147,-0.0195,false_alarm
SPY,2007-11-20,0.2135,-0.0255,false_alarm
SPY,2007-11-21,0.2231,-0.0052,false_alarm
SPY,2007-11-23,0.234,-0.0311,false_alarm
SPY,2007-11-26,0.2376,-0.0092,false_alarm
SPY,2007-11-27,0.2428,-0.0205,false_alarm
SPY,2007-11-28,0.2728,-0.0509,hit
SPY,2007-11-29,0.2691,-0.0512,hit
SPY,2007-11-30,0.2603,-0.0656,hit
SPY,2007-12-03,0.261,-0.0675,hit
SPY,2007-12-04,0.2615,-0.0835,hit
SPY,2007-12-05,0.2641,-0.1078,hit
SPY,2007-12-06,0.2496,-0.1294,hit
SPY,2007-12-07,0.2486,-0.1292,hit
SPY,2007-12-10,0.243,-0.1359,hit
SPY,2007-12-11,0.2624,-0.1115,hit
SPY,2007-12-12,0.2422,-0.1202,hit
SPY,2007-12-13,0.2421,-0.1184,hit
SPY,2007-12-14,0.2408,-0.1071,hit
SPY,2007-12-17,0.2464,-0.0941,hit
SPY,2007-12-18,0.2417,-0.0992,hit
SPY,2007-12-19,0.2408,-0.0992,hit
SPY,2007-12-20,0.2282,-0.1048,hit
SPY,2007-12-21,0.2259,-0.1175,hit
SPY,2007-12-24,0.208,-0.124,hit
SPY,2008-01-31,0.2306,-0.0682,hit
SPY,2008-02-01,0.2399,-0.083,hit
SPY,2008-02-05,0.2459,-0.0457,false_alarm
SPY,2008-02-06,0.2415,-0.038,false_alarm
SPY,2008-03-18,0.2588,-0.0248,false_alarm
SPY,2008-03-19,0.2723,0.0141,false_alarm
SPY,2008-03-20,0.2805,-0.0043,false_alarm
SPY,2008-03-24,0.2891,-0.0238,false_alarm
SPY,2008-03-25,0.2853,-0.0248,false_alarm
SPY,2008-03-26,0.2864,-0.0127,false_alarm
SPY,2008-03-27,0.2864,-0.0096,false_alarm
SPY,2008-03-28,0.2864,0.0035,false_alarm
SPY,2008-03-31,0.276,0.0073,false_alarm
SPY,2008-04-01,0.3025,-0.0269,false_alarm
SPY,2008-04-02,0.3019,-0.0276,false_alarm
SPY,2008-04-03,0.3014,-0.03,false_alarm
SPY,2008-04-04,0.2899,-0.0289,false_alarm
SPY,2008-04-07,0.2861,-0.0294,false_alarm
SPY,2008-04-08,0.2801,-0.0284,false_alarm
SPY,2008-09-17,0.3252,-0.2759,hit
SPY,2008-09-18,0.3453,-0.2968,hit
SPY,2008-09-19,0.376,-0.3236,hit
SPY,2008-09-22,0.3788,-0.308,hit
SPY,2008-09-23,0.3805,-0.2919,hit
SPY,2008-09-24,0.3805,-0.2941,hit
SPY,2008-09-25,0.3837,-0.305,hit
SPY,2008-09-26,0.3799,-0.3053,hit
SPY,2008-09-29,0.4704,-0.2463,hit
SPY,2008-09-30,0.4998,-0.2762,hit
SPY,2008-10-01,0.5,-0.2767,hit
SPY,2008-10-02,0.5049,-0.2494,hit
SPY,2008-10-03,0.5049,-0.2392,hit
SPY,2008-10-06,0.5206,-0.1983,hit
SPY,2008-10-07,0.5318,-0.1608,hit
SPY,2008-10-08,0.5317,-0.1642,hit
SPY,2008-10-09,0.5637,-0.1681,hit
SPY,2008-10-10,0.5591,-0.1475,hit
SPY,2008-10-13,0.7664,-0.2556,hit
SPY,2008-10-14,0.7611,-0.2444,hit
SPY,2008-10-15,0.8225,-0.1619,hit
SPY,2008-10-16,0.8313,-0.1954,hit
SPY,2008-10-17,0.8097,-0.1905,hit
SPY,2008-10-20,0.8487,-0.2364,hit
SPY,2008-10-21,0.8505,-0.2129,hit
SPY,2008-10-22,0.8636,-0.1676,hit
SPY,2008-10-23,0.862,-0.1771,hit
SPY,2008-10-24,0.8706,-0.1332,hit
SPY,2008-10-27,0.8398,-0.1013,hit
SPY,2008-10-28,0.9319,-0.1953,hit
SPY,2008-10-29,0.9311,-0.1894,hit
SPY,2008-10-30,0.9389,-0.2165,hit
SPY,2008-10-31,0.9397,-0.2208,hit
SPY,2008-11-03,0.9244,-0.223,hit
SPY,2008-11-04,0.9193,-0.2486,hit
SPY,2008-11-05,0.9278,-0.2156,hit
SPY,2008-11-06,0.9136,-0.1696,hit
SPY,2008-11-07,0.9156,-0.1961,hit
SPY,2008-11-10,0.7706,-0.1855,hit
SPY,2008-11-11,0.7757,-0.1595,hit
SPY,2008-11-12,0.7015,-0.1208,hit
SPY,2008-11-13,0.7208,-0.1724,hit
SPY,2008-11-14,0.7421,-0.129,hit
SPY,2008-11-17,0.7054,-0.1172,hit
SPY,2008-11-18,0.7056,-0.1336,hit
SPY,2008-11-19,0.7163,-0.0742,hit
SPY,2008-11-20,0.7566,0.0539,false_alarm
